3.654206109936483671e+01,3.180796831784559187e-01
3.552448650529196073e+01,3.401033031203732349e-01
3.444371859067863539e+01,4.036571778099057872e-01
3.330321804681226183e+01,5.049658295427251753e-01
3.210644556498021984e+01,6.402537806145026655e-01
3.085686183646987502e+01,8.057455533209094689e-01
2.955792755256860005e+01,9.976656699576169629e-01
2.821310340456379606e+01,1.212238652820296192e+00
2.682585008374282509e+01,1.445689024204619644e+00
2.539962828139307405e+01,1.694241306406257142e+00
2.393789868880191207e+01,1.954120021720880507e+00
2.244412199725673318e+01,2.221549692444162005e+00
2.092175889804489586e+01,2.492754840871771460e+00
1.937427008245379767e+01,2.763959989299380915e+00
1.780511624177080776e+01,3.031389660022661303e+00
1.621775806728329528e+01,3.291268375337285335e+00
1.461565625027866311e+01,3.539820657538923498e+00
1.300227148204427507e+01,3.773271028923246284e+00
1.138106445386750210e+01,3.987844011785925957e+00
9.755495857035738183e+00,4.179764128422633007e+00
8.129026382836357811e+00,4.345255901129039700e+00
6.505116722556730124e+00,4.480543852200817412e+00
4.887227567484246471e+00,4.581852503933637522e+00
3.278819608906279548e+00,4.645406378623169630e+00
1.683353538110203829e+00,4.667429998565086890e+00
5.108810485581788408e-01,4.655949779776989317e+00
-6.525264385433480196e-01,4.622096435013954618e+00
-1.803239245015440417e+00,4.566750931677879599e+00
-2.937627692679162905e+00,4.490794237170654846e+00
-4.052062103355580369e+00,4.395107318894174497e+00
-5.142912798865756585e+00,4.280571144250327364e+00
-6.206550101030755329e+00,4.148066680641012915e+00
-7.239344331671643928e+00,3.998474895468122625e+00
-8.237665812609485272e+00,3.832676756133545304e+00
-9.197884865665340470e+00,3.651553230039178199e+00
-1.011637181266027952e+01,3.455985284586912787e+00
-1.098949697541536175e+01,3.246853887178640097e+00
-1.181363067575165360e+01,3.025040005216256489e+00
-1.258514323549022151e+01,2.791424606101652994e+00
-1.330040497645212838e+01,2.546888657236722864e+00
-1.395578622045843709e+01,2.292313126023359793e+00
-1.454765728933021407e+01,2.028578979863456144e+00
-1.507238850488852400e+01,1.756567186158903393e+00
-1.552635018895442798e+01,1.477158712311597677e+00
-1.590591266334899245e+01,1.191234525723429805e+00
-1.620744624989328386e+01,8.996755937962925831e-01
-1.642732127040836687e+01,6.033628839320803738e-01
-1.656190804671529904e+01,3.031773635326855398e-01
-1.660757690063515213e+01,0.000000000000000000e+00
-1.656190804671530259e+01,-2.971506760720124540e-01
-1.642732127040835977e+01,-5.918114298734825640e-01
-1.620744624989328386e+01,-8.830794713563113740e-01
-1.590591266334899601e+01,-1.170052010472399040e+00
-1.552635018895443331e+01,-1.451826257173646439e+00
-1.507238850488852222e+01,-1.727499421411954117e+00
-1.454765728933021585e+01,-1.996168713139222506e+00
-1.395578622045844064e+01,-2.256931342307353372e+00
-1.330040497645212660e+01,-2.508884518868244484e+00
-1.258514323549022507e+01,-2.751125452773799829e+00
-1.181363067575165893e+01,-2.982751353975918285e+00
-1.098949697541536352e+01,-3.202859432426500064e+00
-1.011637181266027952e+01,-3.410546898077447153e+00
-9.197884865665342247e+00,-3.604910960880658877e+00
-8.237665812609485272e+00,-3.785048830788036334e+00
-7.239344331671644817e+00,-3.950057717751480624e+00
-6.206550101030758881e+00,-4.099034831722891958e+00
-5.142912798865755697e+00,-4.231077382654170549e+00
-4.052062103355582146e+00,-4.345282580497217495e+00
-2.937627692679165570e+00,-4.440747635203933896e+00
-1.803239245015440639e+00,-4.516569756726219076e+00
-6.525264385433491299e-01,-4.571846155015974134e+00
5.108810485581767313e-01,-4.605674040025101057e+00
1.683353538110203829e+00,-4.617150621705498281e+00
3.278819608906276439e+00,-4.595127001763581909e+00
4.887227567484242918e+00,-4.531573127074048024e+00
6.505116722556730124e+00,-4.430264475341228803e+00
8.129026382836354259e+00,-4.294976524269451978e+00
9.755495857035739959e+00,-4.129484751563046174e+00
1.138106445386750210e+01,-3.937564634926336904e+00
1.300227148204426975e+01,-3.722991652063657231e+00
1.461565625027866311e+01,-3.489541280679335777e+00
1.621775806728329883e+01,-3.240988998477697614e+00
1.780511624177080421e+01,-2.981110283163074026e+00
1.937427008245379767e+01,-2.713680612439793194e+00
2.092175889804489941e+01,-2.442475464012182851e+00
2.244412199725672963e+01,-2.171270315584573396e+00
2.393789868880191207e+01,-1.903840644861293008e+00
2.539962828139307049e+01,-1.643961929546668976e+00
2.682585008374282509e+01,-1.395409647345031479e+00
2.821310340456379606e+01,-1.161959275960708471e+00
2.955792755256860360e+01,-9.473862930980285757e-01
3.085686183646986791e+01,-7.554661764613213037e-01
3.210644556498021274e+01,-5.899744037549146114e-01
3.330321804681226894e+01,-4.546864526831368991e-01
3.444371859067863539e+01,-3.533778009503176776e-01
3.552448650529195362e+01,-2.898239262607850142e-01
3.654206109936483671e+01,-2.678003063188676425e-01
